player_name,player_id,season,composite_rating,predicted_qbr,predicted_elo,attempts,total_pass_epa,pass_success_rate,cpoe,rush_attempts,rush_yards_per_game,total_rush_epa,total_wpa,third_down_success,red_zone_epa
A.Dalton,00-0027973,2024,42.84260232287297,45.305507401223345,118.76252523543161,174.0,-25.986808882843913,0.41379310344827586,-1.1419994899859796,11.0,2.0,-3.431674593843093,-0.16311875613241666,0.3617021276595745,0.18223496252186352
J.Winston,00-0031503,2024,42.36024697039329,46.814122588955215,104.93452923721318,334.0,-22.588387294548337,0.4251497005988024,-1.7749517742130492,25.0,4.882352941176471,16.702675447857473,-0.15581729849692827,0.40425531914893614,-0.00457153744801091
C.Williams,00-0039918,2024,42.17911127951688,44.797025315101614,115.1907117894444,686.0,-33.918361304895534,0.4037900874635568,-0.10216506162365735,81.0,28.764705882352942,11.63208358321191,-1.5603751716942054,0.33663366336633666,0.03385490739098574
C.Rush,00-0033662,2024,40.49089911993656,41.15551378573794,120.14074568012305,325.0,-33.84790198894915,0.40615384615384614,-8.06432482924792,26.0,1.0588235294117647,-18.16656541298903,-0.612785518862717,0.3695652173913043,-0.19810946917810768
A.Richardson,00-0039164,2024,38.4831598369673,40.07881451828189,106.56991839258237,298.0,-34.95492717725879,0.36577181208053694,-10.859591457020327,87.0,29.352941176470587,23.787995245003096,0.28136113463122514,0.3225806451612903,-0.08296807498235169
D.Lock,00-0035704,2024,37.81762527873805,37.43142778989083,115.76746623012193,203.0,-24.122172898342594,0.43349753694581283,-6.096339811479425,18.0,7.823529411764706,12.075437067076564,-0.9518320062289615,0.36065573770491804,0.2694616159113523
T.Huntley,00-0035993,2024,36.445152672301106,42.42874119372779,72.2076983997508,164.0,-16.37467119132035,0.3902439024390244,3.104966950993384,26.0,7.9411764705882355,-0.5360116167174378,-0.9759723229882429,0.32653061224489793,-0.08774507237214592
G.Minshew,00-0035289,2024,34.502374870056954,37.15987195322509,84.35164138051975,344.0,-41.33502869492163,0.45058139534883723,0.5195482663836768,19.0,3.411764705882353,-7.564716533728642,-1.3642031129987504,0.4105263157894737,-0.3988532907649276
J.Brissett,00-0033119,2024,32.230487065950264,34.85179568274614,75.51142694618987,188.0,-31.377898236785658,0.4095744680851064,-2.9145862062772117,15.0,3.6470588235294117,3.1165734097594395,-0.769334665024936,0.3611111111111111,-0.2986052587883936
W.Levis,00-0039152,2024,27.914134873121924,32.11959195189506,48.83228691946158,364.0,-59.52811546787098,0.36813186813186816,-0.4322967913052807,45.0,10.764705882352942,-17.496554256690235,-3.211295156551354,0.3826086956521739,-0.3415928593364207
